,R总对数,R,距离r,距离r的平方
309,264.0,-0.1903641691412079,124.06449935416659,15392.0
310,132.0,-0.16779527462109378,124.10076550932311,15401.0
311,640.0,-0.3102401549476135,126.00396819148197,15877.0
312,512.0,-0.3094643491984838,126.01587201618692,15880.0
313,384.0,-0.3029993012890751,126.03570922560003,15885.0
314,256.0,-0.29006920547025816,126.0634760745554,15892.0
315,128.0,-0.26679503299638985,126.09916732476864,15901.0
316,620.0,-0.4170284500552254,128.00390619039717,16385.0
317,496.0,-0.4162276183141898,128.01562404644207,16388.0
318,372.0,-0.40955402047221995,128.03515142334936,16393.0
319,248.0,-0.3962068247882795,128.06248474865697,16400.0
320,124.0,-0.3721818725571891,128.09761902549164,16409.0
321,600.0,-0.5044551285997435,130.00384609695206,16901.0
322,480.0,-0.5052826547321503,130.01538370516005,16904.0
323,360.0,-0.5011450240701291,130.034610777285,16909.0
324,240.0,-0.49286976274608524,130.06152390311286,16916.0
325,120.0,-0.4845945014220416,130.09611831257686,16925.0
326,580.0,-0.6253052017717453,132.00378782444085,17425.0
327,464.0,-0.6261612632880285,132.015150645674,17428.0
328,348.0,-0.6218809557066295,132.03408650799233,17433.0
329,232.0,-0.6133203405438268,132.06059215375342,17440.0
330,116.0,-0.6047597253810224,132.09466302617983,17449.0
331,560.0,-0.7547874230274615,134.00373129133382,17957.0
332,448.0,-0.7556740581693262,134.01492454200763,17960.0
333,336.0,-0.751240882460023,134.03357788255897,17965.0
334,224.0,-0.7423745310414062,134.05968819895114,17972.0
335,112.0,-0.7335081796227875,134.09325113517085,17981.0
336,540.0,-0.8418505613627437,136.0036764208968,18497.0
337,432.0,-0.843689508323645,136.01470508735443,18500.0
338,324.0,-0.8406245967221534,136.03308421115798,18505.0
339,216.0,-0.8344947735191601,136.0588108135596,18512.0
340,108.0,-0.8344947735191578,136.09188072769072,18521.0
341,520.0,-0.9121549182524646,138.00362314084367,19045.0
342,416.0,-0.9140645939426313,138.01449199268893,19048.0
343,312.0,-0.9108818011256978,138.03260484392808,19053.0
344,208.0,-0.9045162154918213,138.05795884337854,19060.0
345,104.0,-0.904516215491819,138.0905500025255,19069.0
346,500.0,-0.9880836236933632,140.00357138301865,19601.0
347,400.0,-0.9900696864111366,140.0142849854971,19604.0
348,300.0,-0.9867595818815257,140.03213916812098,19609.0
349,200.0,-0.9801393728222952,140.05713120009278,19616.0
350,100.0,-0.9801393728222931,140.089257261219,19625.0
351,480.0,-0.9999999999999837,142.00352108310554,20165.0
352,384.0,-0.9999999999999872,142.01408380861386,20168.0
353,288.0,-0.9999999999999931,142.03168660548954,20173.0
354,192.0,-0.9999999999999956,142.0563268566381,20180.0
355,96.0,-0.9999999999999931,142.08800090085018,20189.0
356,460.0,-0.9999999999999843,144.00347218036097,20737.0
357,368.0,-0.999999999999988,144.01388821915754,20740.0
358,276.0,-0.9999999999999942,144.03124660989366,20745.0
359,184.0,-0.9999999999999954,144.05554484295286,20752.0
360,92.0,-0.9999999999999929,144.08677940741129,20761.0
361,440.0,-0.999999999999985,146.00342461736986,21317.0
362,352.0,-0.9999999999999889,146.01369798755184,21320.0
363,264.0,-0.9999999999999953,146.03081866510234,21325.0
364,176.0,-0.9999999999999953,146.05478424207814,21332.0
365,88.0,-0.9999999999999927,146.08559134972896,21341.0
366,420.0,-0.9999999999999857,148.00337833982033,21905.0
367,336.0,-0.9999999999999898,148.0135128966271,21908.0
368,252.0,-0.9999999999999961,148.03040228277433,21913.0
369,168.0,-0.9999999999999952,148.05404418657398,21920.0
